file                                                              before   after   wrap  tokSkip  segSkip  lnSkip
interactive-lessons/chemistry-ideal-gas-law-part2.ts                   2       0      2        0        0       0
interactive-lessons/chemistry-ideal-gas-law-part4.ts                  18       0     18        0        0       0
interactive-lessons/chemistry-ideal-gas-law-part5.ts                  15       0     15        0        0       0
interactive-lessons/chemistry-ideal-gas-law-part6.ts                  55       0     44        0        0       0
interactive-lessons/chemistry-ideal-gas-law-part7.ts                  24       0     24        0        0       0
interactive-lessons/chemistry-integrated-rate-laws-part1.ts           33       0     25        0        0       0
interactive-lessons/chemistry-integrated-rate-laws-part2.ts           69       0     40        0        0       0
interactive-lessons/chemistry-integrated-rate-laws-part3.ts           54       0     26        0        0       0
interactive-lessons/chemistry-integrated-rate-laws-part4.ts           46       0     18        0        0       0
interactive-lessons/chemistry-integrated-rate-laws-part5.ts           57       0     39        0        0       0
interactive-lessons/chemistry-integrated-rate-laws-part6.ts           53       0     29        0        0       0
interactive-lessons/chemistry-integrated-rate-laws-part7.ts           94       0     55        0        0       0
interactive-lessons/chemistry-intro-equilibrium-part1.ts              23       0     16        0        0       0
interactive-lessons/chemistry-intro-equilibrium-part2.ts               2       0      2        0        1       0
interactive-lessons/chemistry-intro-equilibrium-part3.ts              15       0     14        0        0       0
interactive-lessons/chemistry-intro-equilibrium-part7.ts              11       0      9        0        0       0
interactive-lessons/chemistry-lewis-structures-formal-charge-part1.ts      18       0     15        0        0       0
interactive-lessons/chemistry-lewis-structures-formal-charge-part2.ts      36       0     36        0        0       0
interactive-lessons/chemistry-lewis-structures-formal-charge-part3.ts      52       0     52        0        0       0
interactive-lessons/chemistry-lewis-structures-formal-charge-part4.ts      18       0     17        0        0       0
interactive-lessons/chemistry-lewis-structures-formal-charge-part5.ts      43       0     26        0        0       0
interactive-lessons/chemistry-lewis-structures-formal-charge-part6.ts      50       3     50        0        0       0
interactive-lessons/chemistry-lewis-structures-formal-charge-part7.ts      37       0     34        0        0       0
interactive-lessons/chemistry-mixtures-separations-part1.ts           10       0      9        0        0       0
interactive-lessons/chemistry-mixtures-separations-part3.ts            1       0      1        0        0       0
interactive-lessons/chemistry-mixtures-separations-part5.ts           31       0     27        0        0       0
interactive-lessons/chemistry-mixtures-separations-part6.ts           15       0     11        0        0       0
interactive-lessons/chemistry-mixtures-separations-part7.ts           24       0     21        0        0       0
interactive-lessons/chemistry-moles-molar-mass-part1.ts               20       0     18        0        0       0
interactive-lessons/chemistry-moles-molar-mass-part2.ts               30       0     20        0        0       0
interactive-lessons/chemistry-moles-molar-mass-part3.ts                9       0     11        0        0       0
interactive-lessons/chemistry-moles-molar-mass-part4.ts               33       0     23        0        0       0
interactive-lessons/chemistry-moles-molar-mass-part5.ts               69       0     38        0        0       0
interactive-lessons/chemistry-moles-molar-mass-part6.ts               40       0     24        0        0       0
interactive-lessons/chemistry-moles-molar-mass-part7.ts               42       0     26        0        0       0
interactive-lessons/chemistry-nernst-equation-concentration-part2.ts       1       0      1        0        0       0
interactive-lessons/chemistry-nernst-equation-concentration-part3.ts       7       0      5        0        0       0
interactive-lessons/chemistry-nernst-equation-concentration-part4.ts      18       1     13        0        0       0
interactive-lessons/chemistry-nernst-equation-concentration-part5.ts      19       0     16        0        0       0
interactive-lessons/chemistry-nernst-equation-concentration-part6.ts      22       0     12        0        0       0
interactive-lessons/chemistry-nernst-equation-concentration-part7.ts       7       1      5        0        0       0
interactive-lessons/chemistry-net-ionic-equations-part1.ts            54       0     43        0        0       0
interactive-lessons/chemistry-net-ionic-equations-part2.ts           201       0    134        0        0       0
interactive-lessons/chemistry-net-ionic-equations-part3.ts            83       0     58        0        0       0
interactive-lessons/chemistry-net-ionic-equations-part4.ts           149       0    116        0        0       0
interactive-lessons/chemistry-net-ionic-equations-part5.ts            93       0     92        0        0       0
interactive-lessons/chemistry-net-ionic-equations-part6.ts           174       0    138        0        0       0
interactive-lessons/chemistry-net-ionic-equations-part7.ts           183       0    129        0        0       0
interactive-lessons/chemistry-oxidation-reduction-reactions-part1.ts      66       0     40        0        0       0
interactive-lessons/chemistry-oxidation-reduction-reactions-part2.ts      46       0     38        0        0       0
interactive-lessons/chemistry-oxidation-reduction-reactions-part3.ts      83       0     71        0        0       0
interactive-lessons/chemistry-oxidation-reduction-reactions-part4.ts     134       0    139        0        0       0
interactive-lessons/chemistry-oxidation-reduction-reactions-part5.ts      81       0     63        0        0       0
interactive-lessons/chemistry-oxidation-reduction-reactions-part6.ts     236       0    149        0        0       0
interactive-lessons/chemistry-oxidation-reduction-reactions-part7.ts      77       0     51        0        0       0
interactive-lessons/chemistry-periodic-trends-part6.ts                97       0     70        0        0       0
interactive-lessons/chemistry-periodic-trends-part7.ts                61       0     48        0        0       0
interactive-lessons/chemistry-photoelectron-spectroscopy-part2.ts      18       0     18        0        0       0
interactive-lessons/chemistry-photoelectron-spectroscopy-part3.ts      61       0     61        0        0       0
interactive-lessons/chemistry-photoelectron-spectroscopy-part4.ts      47       0     45        0        0       0
interactive-lessons/chemistry-photoelectron-spectroscopy-part5.ts      26       0     26        0        0       0
interactive-lessons/chemistry-photoelectron-spectroscopy-part6.ts      56       0     51        0        0       0
interactive-lessons/chemistry-photoelectron-spectroscopy-part7.ts      50       0     47        0        0       0
interactive-lessons/chemistry-properties-states-matter-part1.ts        5       0      5        0        0       0
interactive-lessons/chemistry-properties-states-matter-part2.ts       23       0     28        0        0       0
interactive-lessons/chemistry-properties-states-matter-part3.ts       24       0     10        0        0       0
interactive-lessons/chemistry-properties-states-matter-part4.ts        3       0      3        0        1       0
interactive-lessons/chemistry-properties-states-matter-part5.ts       25       0     25        0        0       0
interactive-lessons/chemistry-properties-states-matter-part6.ts      105       0     72        0        0       0
interactive-lessons/chemistry-properties-states-matter-part7.ts       70       0     68        0        0       0
interactive-lessons/chemistry-reaction-mechanisms-part1.ts            33       1     26        0        0       0
interactive-lessons/chemistry-reaction-mechanisms-part2.ts            86       0     70        0        0       0
interactive-lessons/chemistry-reaction-mechanisms-part3.ts            33       0     29        0        0       0
interactive-lessons/chemistry-reaction-mechanisms-part4.ts            59      11     50        0        0       0
interactive-lessons/chemistry-reaction-mechanisms-part5.ts            33       1     32        0        0       0
interactive-lessons/chemistry-reaction-mechanisms-part6.ts            92       0     75        0        0       0
interactive-lessons/chemistry-reaction-mechanisms-part7.ts            67       1     57        0        0       0
interactive-lessons/chemistry-reaction-quotient-le-chatelier-part2.ts       4       0      4        0        0       0
interactive-lessons/chemistry-reaction-quotient-le-chatelier-part3.ts      26       0     26        0        0       0
interactive-lessons/chemistry-reaction-quotient-le-chatelier-part4.ts       2       0      2        0        0       0
interactive-lessons/chemistry-reaction-quotient-le-chatelier-part6.ts       4       0      3        0        0       0
